date,value
2022-02-24,800
2022-02-25,1000
2022-02-26,1100
2022-02-27,1000
2022-02-28,1000
2022-03-01,1040
2022-03-02,1060
2022-03-03,1070
2022-03-04,1030
2022-03-05,1000
2022-03-06,1000
2022-03-07,500
2022-03-08,500
2022-03-09,200
2022-03-10,300
2022-03-11,200
2022-03-12,400
2022-03-13,400
2022-03-14,200
2022-03-15,100
2022-03-16,200
2022-03-17,200
2022-03-18,200
2022-03-19,300
2022-03-20,300
2022-03-21,300
2022-03-22,300
2022-03-23,300
2022-03-24,300
2022-03-25,200
2022-03-26,200
2022-03-27,300
2022-03-28,200
2022-03-29,200
2022-03-30,150
2022-03-31,100
2022-04-01,100
2022-04-02,200
2022-04-03,150
2022-04-04,200
2022-04-05,150
2022-04-06,150
2022-04-07,200
2022-04-08,200
2022-04-09,150
2022-04-10,200
2022-04-11,150
2022-04-12,200
2022-04-13,200
2022-04-14,100
2022-04-15,100
2022-04-16,100
2022-04-17,200
2022-04-18,300
2022-04-19,200
2022-04-20,100
2022-04-21,100
2022-04-22,200
2022-04-23,400
2022-04-24,200
2022-04-25,100
2022-04-26,200
2022-04-27,300
2022-04-28,400
2022-04-29,200
2022-04-30,200
2022-05-01,300
2022-05-02,300
2022-05-03,400
2022-05-04,300
2022-05-05,200
2022-05-06,200
2022-05-07,200
2022-05-08,400
2022-05-09,150
2022-05-10,350
2022-05-11,350
2022-05-12,300
2022-05-13,250
2022-05-14,300
2022-05-15,200
2022-05-16,300
2022-05-17,200
2022-05-18,400
2022-05-19,200
2022-05-20,200
2022-05-21,150
2022-05-22,200
2022-05-23,150
2022-05-24,150
2022-05-25,100
2022-05-26,150
2022-05-27,150
2022-05-28,250
2022-05-29,150
2022-05-30,200
2022-05-31,150
2022-06-01,200
2022-06-02,150
2022-06-03,100
2022-06-04,100
2022-06-05,100
2022-06-06,150
2022-06-07,150
2022-06-08,150
2022-06-09,150
2022-06-10,150
2022-06-11,100
2022-06-12,150
2022-06-13,150
2022-06-14,200
2022-06-15,250
2022-06-16,200
2022-06-17,200
2022-06-18,200
2022-06-19,250
2022-06-20,200
2022-06-21,300
2022-06-22,130
2022-06-23,200
2022-06-24,130
2022-06-25,140
2022-06-26,150
2022-06-27,150
2022-06-28,200
2022-06-29,200
2022-06-30,200
2022-07-01,150
2022-07-02,120
2022-07-03,100
2022-07-04,230
2022-07-05,150
2022-07-06,150
2022-07-07,150
2022-07-08,150
2022-07-09,200
2022-07-10,200
2022-07-11,200
2022-07-12,200
2022-07-13,200
2022-07-14,200
2022-07-15,200
2022-07-16,200
2022-07-17,200
2022-07-18,150
2022-07-19,100
2022-07-20,200
2022-07-21,100
2022-07-22,150
2022-07-23,200
2022-07-24,200
2022-07-25,270
2022-07-26,200
2022-07-27,200
2022-07-28,160
2022-07-29,270
2022-07-30,170
2022-07-31,160
2022-08-01,200
2022-08-02,140
2022-08-03,180
2022-08-04,150
2022-08-05,150
2022-08-06,250
2022-08-07,300
2022-08-08,140
2022-08-09,300
2022-08-10,160
2022-08-11,200
2022-08-12,200
2022-08-13,200
2022-08-14,150
2022-08-15,200
2022-08-16,200
2022-08-17,200
2022-08-18,200
2022-08-19,200
2022-08-20,250
2022-08-21,250
2022-08-22,350
2022-08-23,150
2022-08-24,150
2022-08-25,150
2022-08-26,450
2022-08-27,250
2022-08-28,250
2022-08-29,350
2022-08-30,450
2022-08-31,350
2022-09-01,450
2022-09-02,350
2022-09-03,350
2022-09-04,450
2022-09-05,300
2022-09-06,350
2022-09-07,460
2022-09-08,640
2022-09-09,650
2022-09-10,350
2022-09-11,400
2022-09-12,300
2022-09-13,350
2022-09-14,300
2022-09-15,350
2022-09-16,200
2022-09-17,200
2022-09-18,230
2022-09-19,170
2022-09-20,160
2022-09-21,300
2022-09-22,400
2022-09-23,550
2022-09-24,240
2022-09-25,400
2022-09-26,500
2022-09-27,550
2022-09-28,400
2022-09-29,430
2022-09-30,500
2022-10-01,530
2022-10-02,400
2022-10-03,320
2022-10-04,370
2022-10-05,200
2022-10-06,330
2022-10-07,350
2022-10-08,380
2022-10-09,440
2022-10-10,370
2022-10-11,240
2022-10-12,270
2022-10-13,420
2022-10-14,500
2022-10-15,400
2022-10-16,300
2022-10-17,320
2022-10-18,530
2022-10-19,430
2022-10-20,370
2022-10-21,100
2022-10-22,320
2022-10-23,400
2022-10-24,470
2022-10-25,480
2022-10-26,480
2022-10-27,320
2022-10-28,480
2022-10-29,550
2022-10-30,950
2022-10-31,620
2022-11-01,650
2022-11-02,800
2022-11-03,730
2022-11-04,840
2022-11-05,600
2022-11-06,490
2022-11-07,530
2022-11-08,710
2022-11-09,780
2022-11-10,740
2022-11-11,710
2022-11-12,810
2022-11-13,650
2022-11-14,510
2022-11-15,710
2022-11-16,630
2022-11-17,400
2022-11-18,350
2022-11-19,420
2022-11-20,330
2022-11-21,390
2022-11-22,400
2022-11-23,410
2022-11-24,310
2022-11-25,430
2022-11-26,560
2022-11-27,600
2022-11-28,590
2022-11-29,480
2022-11-30,500
2022-12-01,560
2022-12-02,650
2022-12-03,510
2022-12-04,550
2022-12-05,540
2022-12-06,510
2022-12-07,540
2022-12-08,340
2022-12-09,310
2022-12-10,360
2022-12-11,390
2022-12-12,620
2022-12-13,500
2022-12-14,740
2022-12-15,590
2022-12-16,680
2022-12-17,420
2022-12-18,590
2022-12-19,520
2022-12-20,430
2022-12-21,510
2022-12-22,660
2022-12-23,400
2022-12-24,480
2022-12-25,620
2022-12-26,550
2022-12-27,620
2022-12-28,550
2022-12-29,790
2022-12-30,690
2022-12-31,710
2023-01-01,760
2023-01-02,720
2023-01-03,750
2023-01-04,720
2023-01-05,810
2023-01-06,530
2023-01-07,490
2023-01-08,430
2023-01-09,590
2023-01-10,710
2023-01-11,490
2023-01-12,430
2023-01-13,740
2023-01-14,530
2023-01-15,630
2023-01-16,790
2023-01-17,870
2023-01-18,820
2023-01-19,760
2023-01-20,770
2023-01-21,860
2023-01-22,600
2023-01-23,720
2023-01-24,690
2023-01-25,910
2023-01-26,780
2023-01-27,850
2023-01-28,800
2023-01-29,650
2023-01-30,490
2023-01-31,850
2023-02-01,920
2023-02-02,610
2023-02-03,840
2023-02-04,720
2023-02-05,700
2023-02-06,870
2023-02-07,1030
2023-02-08,910
2023-02-09,910
2023-02-10,730
2023-02-11,1140
2023-02-12,900
2023-02-13,560
2023-02-14,740
2023-02-15,690
2023-02-16,690
2023-02-17,800
2023-02-18,1010
2023-02-19,590
2023-02-20,820
2023-02-21,760
2023-02-22,620
2023-02-23,790
2023-02-24,970